,corredor_armazem,modo_envio,numero_chamadas_cliente,avaliacao_cliente,custo_produto,compras_anteriores,prioridade_produto,genero,desconto,peso_gramas,entregue_no_prazo,performance_prioridade_envio,performance_modo_envio,faixa_desconto,performance_faixa_desconto,corredor_armazem_A,corredor_armazem_B,corredor_armazem_C,corredor_armazem_D,corredor_armazem_F,performance_prioridade_envio_Atraso crítico,performance_prioridade_envio_Atraso problemárico,performance_prioridade_envio_Atraso tolerável,performance_prioridade_envio_Não houve atraso,performance_modo_envio_Atraso Crítico na Entrega por Aviao,performance_modo_envio_Atraso Crítico na Entrega por Caminhao,performance_modo_envio_Atraso Crítico na Entrega por Navio,performance_modo_envio_Atraso Problemático na Entrega por Aviao,performance_modo_envio_Atraso Problemático na Entrega por Caminhao,performance_modo_envio_Atraso Problemático na Entrega por Navio,performance_modo_envio_Atraso Tolerável na Entrega por Aviao,performance_modo_envio_Atraso Tolerável na Entrega por Navio,performance_modo_envio_Não houve atraso,faixa_desconto_Desconto abaixo da média,faixa_desconto_Desconto acima ou igual à média,performance_faixa_desconto_Atraso na Entrega com Desconto Abaixo da Média,performance_faixa_desconto_Entrega no Prazo com Desconto Abaixo da Média,performance_faixa_desconto_Entrega no Prazo com Desconto Acima da Média
10,C,1,-0.035223621989795235,-0.035223621989795235,0.27567567567567564,-0.035223621989795235,2,1,-0.035223621989795194,0.27567567567567564,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
11,F,1,1.2988867297446895,1.2988867297446895,0.32899926953981007,1.2988867297446895,2,0,1.2988867297446895,0.32899926953981007,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
12,D,1,-0.7689843154437618,-0.7689843154437618,0.3894813732651571,-0.7689843154437618,2,0,-0.7689843154437618,0.3894813732651571,1,Não houve atraso,Não houve atraso,Desconto abaixo da média,Entrega no Prazo com Desconto Abaixo da Média,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
13,F,1,1.0987701769845168,1.0987701769845168,0.23389335281227172,1.0987701769845168,0,1,1.0987701769845168,0.23389335281227172,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
14,A,1,2.032647423198656,2.032647423198656,0.0011687363038714316,2.032647423198656,1,1,2.032647423198656,0.0011687363038714316,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
15,B,1,2.1660584583721048,2.1660584583721048,0.24923301680058438,2.1660584583721048,1,0,2.1660584583721048,0.24923301680058438,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
16,C,1,-0.43545672751014064,-0.43545672751014064,0.02819576333089846,-0.43545672751014064,2,0,-0.4354567275101406,0.02819576333089846,1,Não houve atraso,Não houve atraso,Desconto abaixo da média,Entrega no Prazo com Desconto Abaixo da Média,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
17,F,0,1.5657088000915864,1.5657088000915864,0.4311176040905771,1.5657088000915864,2,1,1.5657088000915864,0.4311176040905771,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
18,D,0,0.3650094835305501,0.3650094835305501,0.21826150474799125,0.3650094835305501,0,1,0.3650094835305502,0.21826150474799125,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
19,F,0,2.1660584583721048,2.1660584583721048,0.00847333820306792,2.1660584583721048,2,1,2.1660584583721048,0.00847333820306792,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
20,A,0,1.699119835265035,1.699119835265035,0.07596785975164352,1.699119835265035,2,0,1.699119835265035,0.07596785975164352,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
21,B,0,2.56629156389245,2.56629156389245,0.2772826880934989,2.56629156389245,2,0,2.56629156389245,0.2772826880934989,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
22,C,0,-0.7022787978570375,-0.7022787978570375,0.10942293644996345,-0.7022787978570375,1,1,-0.7022787978570375,0.10942293644996345,1,Não houve atraso,Não houve atraso,Desconto abaixo da média,Entrega no Prazo com Desconto Abaixo da Média,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
23,F,0,-0.035223621989795235,-0.035223621989795235,0.4267348429510591,-0.035223621989795235,0,1,-0.035223621989795194,0.4267348429510591,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
24,D,0,1.0320646593977925,1.0320646593977925,0.37399561723886043,1.0320646593977925,2,0,1.0320646593977925,0.37399561723886043,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
25,F,0,1.0987701769845168,1.0987701769845168,0.3644996347699051,1.0987701769845168,1,1,1.0987701769845168,0.3644996347699051,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
26,A,0,0.7652425890508956,0.7652425890508956,0.009495982468955444,0.7652425890508956,0,0,0.7652425890508956,0.009495982468955444,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
27,B,0,1.2321812121579652,1.2321812121579652,0.06340394448502557,1.2321812121579652,2,1,1.2321812121579652,0.06340394448502557,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
28,C,0,2.0993529407853804,2.0993529407853804,0.3116143170197224,2.0993529407853804,1,1,2.0993529407853804,0.3116143170197224,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
29,F,0,1.5657088000915864,1.5657088000915864,0.41168736303871445,1.5657088000915864,1,0,1.5657088000915864,0.41168736303871445,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
30,D,0,1.699119835265035,1.699119835265035,0.254200146092038,1.699119835265035,2,0,1.699119835265035,0.254200146092038,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
31,F,0,3.2333467397596927,3.2333467397596927,0.34185536888239587,3.2333467397596927,1,0,3.2333467397596927,0.34185536888239587,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
32,A,0,0.6318315538774472,0.6318315538774472,0.4081811541271001,0.6318315538774472,1,0,0.6318315538774472,0.4081811541271001,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
33,B,0,-0.5688677626835891,-0.5688677626835891,0.33016800584368156,-0.5688677626835891,2,1,-0.5688677626835891,0.33016800584368156,1,Não houve atraso,Não houve atraso,Desconto abaixo da média,Entrega no Prazo com Desconto Abaixo da Média,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
34,C,0,0.6318315538774472,0.6318315538774472,0.21314828341855366,0.6318315538774472,2,0,0.6318315538774472,0.21314828341855366,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
35,F,0,2.0993529407853804,2.0993529407853804,0.11833455076698321,2.0993529407853804,2,0,2.0993529407853804,0.11833455076698321,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
37,F,0,0.2315984483571017,0.2315984483571017,0.3804236669101534,0.2315984483571017,2,0,0.23159844835710175,0.3804236669101534,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
38,A,0,2.899819151826071,2.899819151826071,0.4242512783053324,2.899819151826071,1,0,2.899819151826071,0.4242512783053324,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
39,B,0,2.1660584583721048,2.1660584583721048,0.2018991964937911,2.1660584583721048,1,0,2.1660584583721048,0.2018991964937911,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
40,C,0,0.16489293077037745,0.16489293077037745,0.40861943024105185,0.16489293077037745,1,1,0.1648929307703775,0.40861943024105185,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
41,F,0,3.2333467397596927,3.2333467397596927,0.03856829802775749,3.2333467397596927,2,1,3.2333467397596927,0.03856829802775749,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
42,D,0,1.699119835265035,1.699119835265035,0.0943754565376187,1.699119835265035,2,1,1.699119835265035,0.0943754565376187,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
43,F,0,2.0993529407853804,2.0993529407853804,0.08108108108108109,2.0993529407853804,1,1,2.0993529407853804,0.08108108108108109,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
44,A,0,1.0987701769845168,1.0987701769845168,0.047772096420745064,1.0987701769845168,1,1,1.0987701769845168,0.047772096420745064,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
45,B,0,-0.23534017474996796,-0.23534017474996796,0.2838568298027757,-0.23534017474996796,1,0,-0.2353401747499679,0.2838568298027757,1,Não houve atraso,Não houve atraso,Desconto abaixo da média,Entrega no Prazo com Desconto Abaixo da Média,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
46,C,0,1.2988867297446895,1.2988867297446895,0.035646457268078885,1.2988867297446895,2,0,1.2988867297446895,0.035646457268078885,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
47,F,0,1.2988867297446895,1.2988867297446895,0.08400292184075966,1.2988867297446895,1,1,1.2988867297446895,0.08400292184075966,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
48,D,0,-0.23534017474996796,-0.23534017474996796,0.402045288531775,-0.23534017474996796,2,1,-0.2353401747499679,0.402045288531775,1,Não houve atraso,Não houve atraso,Desconto abaixo da média,Entrega no Prazo com Desconto Abaixo da Média,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
49,F,0,1.8325308704384833,1.8325308704384833,0.16727538349159968,1.8325308704384833,1,0,1.8325308704384833,0.16727538349159968,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
50,A,0,1.6324143176783106,1.6324143176783106,0.152081811541271,1.6324143176783106,1,1,1.6324143176783106,0.152081811541271,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
51,B,0,0.6318315538774472,0.6318315538774472,0.10723155588020453,0.6318315538774472,1,1,0.6318315538774472,0.10723155588020453,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
52,C,0,2.0993529407853804,2.0993529407853804,0.04660336011687363,2.0993529407853804,1,0,2.0993529407853804,0.04660336011687363,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
53,F,0,1.8992363880252077,1.8992363880252077,0.01855368882395908,1.8992363880252077,1,1,1.8992363880252077,0.01855368882395908,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
54,D,0,-0.035223621989795235,-0.035223621989795235,0.37078159240321407,-0.035223621989795235,0,1,-0.035223621989795194,0.37078159240321407,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
55,F,0,2.232763975958829,2.232763975958829,0.2097881665449233,2.232763975958829,1,1,2.232763975958829,0.2097881665449233,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
56,A,0,3.2333467397596927,3.2333467397596927,0.3060628195763331,3.2333467397596927,1,0,3.2333467397596927,0.3060628195763331,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
57,B,0,1.0987701769845168,1.0987701769845168,0.358217677136596,1.0987701769845168,2,0,1.0987701769845168,0.358217677136596,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
58,C,0,1.8992363880252077,1.8992363880252077,0.05346968590211834,1.8992363880252077,0,1,1.8992363880252077,0.05346968590211834,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
59,F,0,0.2983039659438259,0.2983039659438259,0.13469685902118336,0.2983039659438259,0,0,0.29830396594382597,0.13469685902118336,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
61,F,0,2.6329970814791746,2.6329970814791746,0.02293644996347699,2.6329970814791746,2,1,2.6329970814791746,0.02293644996347699,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
63,B,0,3.2333467397596927,3.2333467397596927,0.12841490138787434,3.2333467397596927,2,1,3.2333467397596927,0.12841490138787434,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
64,C,0,2.432880528719002,2.432880528719002,0.2986121256391526,2.432880528719002,0,1,2.432880528719002,0.2986121256391526,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
65,F,0,2.432880528719002,2.432880528719002,0.27465303140978814,2.432880528719002,1,1,2.432880528719002,0.27465303140978814,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
66,D,0,0.16489293077037745,0.16489293077037745,0.10357925493060627,0.16489293077037745,2,0,0.1648929307703775,0.10357925493060627,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
67,F,0,-0.43545672751014064,-0.43545672751014064,0.12812271731190647,-0.43545672751014064,1,0,-0.4354567275101406,0.12812271731190647,1,Não houve atraso,Não houve atraso,Desconto abaixo da média,Entrega no Prazo com Desconto Abaixo da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
68,A,0,-0.43545672751014064,-0.43545672751014064,0.22074506939371805,-0.43545672751014064,2,0,-0.4354567275101406,0.22074506939371805,1,Não houve atraso,Não houve atraso,Desconto abaixo da média,Entrega no Prazo com Desconto Abaixo da Média,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
69,B,0,1.7658253528517591,1.7658253528517591,0.28166544923301684,1.7658253528517591,2,1,1.7658253528517591,0.28166544923301684,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
70,C,0,0.09818741318365323,0.09818741318365323,0.4160701241782323,0.09818741318365323,0,1,0.09818741318365327,0.4160701241782323,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
71,F,0,-0.7022787978570375,-0.7022787978570375,0.17940102264426586,-0.7022787978570375,1,0,-0.7022787978570375,0.17940102264426586,1,Não houve atraso,Não houve atraso,Desconto abaixo da média,Entrega no Prazo com Desconto Abaixo da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
72,D,0,1.3655922473314137,1.3655922473314137,0.2917457998539079,1.3655922473314137,2,0,1.3655922473314137,0.2917457998539079,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
73,F,0,0.5651260362907229,0.5651260362907229,0.4357925493060628,0.5651260362907229,2,0,0.5651260362907229,0.4357925493060628,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
74,A,0,0.031481895596928995,0.031481895596928995,0.21051862673484292,0.031481895596928995,1,0,0.03148189559692904,0.21051862673484292,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
75,B,0,0.6985370714641714,0.6985370714641714,0.4052593133674215,0.6985370714641714,1,0,0.6985370714641714,0.4052593133674215,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
76,C,0,1.5657088000915864,1.5657088000915864,0.1149744338933528,1.5657088000915864,2,0,1.5657088000915864,0.1149744338933528,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
77,F,0,2.032647423198656,2.032647423198656,0.07552958363769174,2.032647423198656,1,0,2.032647423198656,0.07552958363769174,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
78,D,0,0.3650094835305501,0.3650094835305501,0.4321402483564646,0.3650094835305501,1,1,0.3650094835305502,0.4321402483564646,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
79,F,0,2.899819151826071,2.899819151826071,0.39590942293644993,2.899819151826071,2,0,2.899819151826071,0.39590942293644993,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
80,A,0,2.432880528719002,2.432880528719002,0.13747260774287798,2.432880528719002,2,0,2.432880528719002,0.13747260774287798,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
